epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.294,1.29329,5.74255,1.21892,0,0,0,0,0.86733,4.93555,1.02639,1.749e-05,1.749e-05,1.749e-05
2,83.4546,1.25652,5.62348,1.2075,0,0,0,0,0.88626,4.90333,1.0215,3.6208e-05,3.6208e-05,3.6208e-05
3,105.125,1.17947,5.48435,1.12159,0,0,0,0,0.90781,4.874,1.0141,5.45481e-05,5.45481e-05,5.45481e-05
4,130.633,1.16766,5.30799,1.14526,0,0,0,0,0.9381,4.8157,1.00646,7.25105e-05,7.25105e-05,7.25105e-05
5,153.014,1.12687,5.17134,1.07225,0,0,0,0,0.96152,4.74671,1.00434,9.00951e-05,9.00951e-05,9.00951e-05
6,174.199,1.14588,5.02196,1.10339,0.00978,0.02076,0.0088,0.00772,0.96854,4.61829,0.99796,0.000107302,0.000107302,0.000107302
7,196.322,1.19277,4.77517,1.10872,0.02315,0.16389,0.04017,0.03548,0.99038,4.36268,1.00517,0.000124131,0.000124131,0.000124131
8,218.491,1.22264,4.53684,1.13437,0.01553,0.24799,0.03628,0.0311,1.0045,4.1914,1.02214,0.000140582,0.000140582,0.000140582
9,240.291,1.19922,4.50923,1.08107,0.44395,0.04995,0.03606,0.03055,1.00424,4.10729,1.02876,0.000146407,0.000146407,0.000146407
10,261.693,1.28459,4.50113,1.09996,0.49871,0.0443,0.04087,0.03407,1.00497,3.99218,1.02985,0.000144833,0.000144833,0.000144833
11,282.253,1.25999,4.41469,1.12518,0.45285,0.05704,0.04289,0.03637,1.00429,3.9267,1.02585,0.000143259,0.000143259,0.000143259
12,303.417,1.14494,4.15961,1.07174,0.37989,0.07438,0.04605,0.03969,0.99794,3.86729,1.03112,0.000141685,0.000141685,0.000141685
13,325.671,1.18373,4.06856,1.09896,0.38536,0.07144,0.04987,0.04394,1.01689,3.82222,1.04083,0.000140111,0.000140111,0.000140111
14,347.55,1.11397,3.92168,1.0489,0.40936,0.06677,0.04675,0.04097,1.01523,3.72927,1.04741,0.000138537,0.000138537,0.000138537
15,369.119,1.11241,3.88197,1.08876,0.43399,0.06475,0.0481,0.04089,0.99618,3.66387,1.03528,0.000136963,0.000136963,0.000136963
16,390.401,1.10024,3.84026,1.04907,0.36411,0.08566,0.0518,0.04203,0.95581,3.60359,1.01897,0.000135388,0.000135388,0.000135388
17,411.09,1.08866,3.61829,1.0461,0.35855,0.07642,0.05943,0.04876,0.95424,3.56854,1.02998,0.000133814,0.000133814,0.000133814
18,431.894,1.13263,3.69899,1.0638,0.40921,0.08735,0.06491,0.05449,0.95991,3.54429,1.0431,0.00013224,0.00013224,0.00013224
19,452.798,1.13082,3.5647,1.08511,0.43895,0.09571,0.05986,0.05009,0.98181,3.51744,1.05211,0.000130666,0.000130666,0.000130666
20,474.762,1.07794,3.45176,1.06072,0.45207,0.08258,0.06684,0.05652,0.97377,3.51047,1.04691,0.000129092,0.000129092,0.000129092
21,495.49,1.09514,3.49795,1.06558,0.45391,0.08981,0.07037,0.0591,0.96042,3.51608,1.03963,0.000127518,0.000127518,0.000127518
22,517.312,1.06264,3.28309,1.04539,0.56894,0.09196,0.07131,0.05788,0.98174,3.51907,1.04874,0.000125944,0.000125944,0.000125944
23,540.632,1.15397,3.27201,1.06728,0.45169,0.08776,0.06969,0.05638,1.01193,3.49428,1.06594,0.00012437,0.00012437,0.00012437
24,562.475,1.08734,3.30309,1.04613,0.62196,0.07321,0.07161,0.05729,1.01706,3.45573,1.06907,0.000122796,0.000122796,0.000122796
25,584.829,1.14008,3.28511,1.06442,0.49372,0.10502,0.07405,0.05927,1.01258,3.42419,1.05493,0.000121222,0.000121222,0.000121222
26,606.833,1.07354,3.25646,1.02466,0.46575,0.09937,0.06802,0.05683,1.02013,3.39137,1.06135,0.000119647,0.000119647,0.000119647
27,628.344,1.03078,3.14815,1.04483,0.37238,0.1297,0.07176,0.05932,1.0234,3.35679,1.07437,0.000118073,0.000118073,0.000118073
28,650.381,1.03469,3.03011,1.03643,0.32791,0.13279,0.0729,0.06126,1.0187,3.33881,1.06261,0.000116499,0.000116499,0.000116499
29,673.211,1.06173,2.95484,1.01141,0.36985,0.12043,0.08428,0.06633,1.02792,3.34603,1.0609,0.000114925,0.000114925,0.000114925
30,693.973,1.01065,2.84916,1.03459,0.37163,0.12618,0.08405,0.06461,1.02606,3.29724,1.06056,0.000113351,0.000113351,0.000113351
31,715.628,1.05143,2.81456,1.05541,0.35828,0.12144,0.09257,0.0721,1.03337,3.30612,1.07276,0.000111777,0.000111777,0.000111777
32,737.57,1.09532,2.86168,1.03945,0.41452,0.12162,0.0846,0.07126,1.02986,3.35314,1.07645,0.000110203,0.000110203,0.000110203
33,759.202,1.0222,2.8433,1.01861,0.40583,0.1266,0.07889,0.06555,1.02402,3.35454,1.07898,0.000108629,0.000108629,0.000108629
34,777.477,1.04733,2.81571,1.03136,0.3482,0.12482,0.08836,0.071,1.0227,3.35552,1.08854,0.000107055,0.000107055,0.000107055
35,797.787,1.05276,2.80885,1.00208,0.35029,0.1419,0.09004,0.0685,1.02268,3.36153,1.09944,0.000105481,0.000105481,0.000105481
36,814.673,0.99529,2.69786,1.02513,0.30202,0.13225,0.08188,0.06917,1.03545,3.37623,1.1128,0.000103906,0.000103906,0.000103906
37,832.416,1.01954,2.62125,0.9933,0.37842,0.11729,0.07886,0.06664,1.03887,3.37999,1.10557,0.000102332,0.000102332,0.000102332
38,848.68,0.98413,2.52261,0.98883,0.34714,0.11332,0.07855,0.0668,1.03948,3.38762,1.10359,0.000100758,0.000100758,0.000100758
39,865.482,0.97531,2.63023,1.00633,0.34771,0.11045,0.09521,0.07367,1.04045,3.41501,1.09515,9.91842e-05,9.91842e-05,9.91842e-05
40,885.346,0.96752,2.49375,1.00584,0.32919,0.11152,0.09284,0.08104,1.02384,3.42156,1.07709,9.76101e-05,9.76101e-05,9.76101e-05
